Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Bank Of Montreal,BMO,NYSE,Finance,Banks - Foreign,YES,92.22,1.15,66106.13,10,9.99,10.13,9.37,10.06,9.1,9.85,-0.09542743538767404,0.08241758241758242,-1.0615395833333325,1.1368933333333333,1.45
Broadstone Net Lease,BNL,NYSE,Finance,REIT and Equity Trust - Residential,YES,15.95,1.07,2985.9,12,11.39,11.31,11.05,1.51,1.41,1.44,-0.06622516556291397,0.02127659574468087,-1.7078099999999985,5.193499999999995,
Bank of Nova Scotia,BNS,NYSE,Finance,Banks - Foreign,YES,49.69,1.01,59537.64,10,8.57,9.41,8.76,6.25,5.28,5.67,-0.15519999999999995,0.0738636363636363,-0.606314432989691,1.1859692307692318,2.31
Bank of Hawaii,BOH,NYSE,Finance,Banks - West,YES,48.16,0.97,1909.49,12,9.09,11.65,12.22,5.62,4.13,3.94,-0.2651245551601424,-0.046004842615012094,-0.43941610738255027,-2.6562421052631584,1.46
BOK Financial,BOKF,NSDQ,Finance,Banks - Southwest,YES,87.58,1.2,5832.9,12,9.5,9.65,9.97,7.49,9.07,8.79,0.2109479305740988,-0.03087100330760762,0.45745886075949366,-3.229567857142844,
Popular,BPOP,NSDQ,Finance,Banks - Southeast,YES,63.32,0.82,4557.41,12,4.44,8.84,6.87,13.91,7.16,9.22,-0.4852624011502516,0.28770949720670397,-0.1821694814814815,0.2387825242718446,
Berkshire Hathaway,BRK.B,NYSE,Finance,Insurance - Property and Casualty,YES,344.25,0.87,748655.19,12,23.79,21.11,19.67,14.85,16.31,17.5,0.09831649831649826,0.07296137339055803,2.1471472602739734,2.6959470588235264,3.02
Brown & Brown,BRO,NYSE,Finance,Insurance - Brokerage,YES,69.89,0.77,19823.9,12,29.74,27.82,25.29,2.24,2.51,2.76,0.12053571428571408,0.09960159362549802,2.3080296296296337,2.539116,
BRP Group,BRP,NSDQ,Finance,Insurance - Life Insurance,YES,24.03,1.58,2806.74,12,25.3,20.5,15.13,1.01,1.17,1.59,0.15841584158415833,0.35897435897435914,1.2940625000000006,0.42147857142857126,0.86
Brixmor Property Group,BRX,NYSE,Finance,REIT and Equity Trust - Retail,YES,22.65,1.59,6807.4,12,11.5,11.28,10.85,1.96,2.01,2.09,0.025510204081632563,0.03980099502487566,4.421760000000015,2.726062499999997,2.08
Banco Santander Chile,BSAC,NYSE,Finance,Banks - Foreign,YES,19.74,0.74,9299.82,12,11.75,11.51,9.36,2.02,1.72,2.11,-0.14851485148514854,0.2267441860465116,-0.7750066666666665,0.41280000000000006,1.77
Banco  ntander Brasil,BSBR,NYSE,Finance,Banks - Foreign,YES,6.23,0.85,23163.79,12,,10.74,8.42,0.71,0.58,0.74,-0.18309859154929578,0.2758620689655173,-0.5865692307692307,0.3052249999999999,1.81
