Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
Alphabet Inc.,GOOG,NSDQ,Computer and Technology,Internet - Services,1852458.5,12,30.12,27.28,25.72,52.31,101.86,108.04,0.9472376218696233,0.06067150991557046,0.2879953178607468,4.239222006472487,1.81
Alphabet Inc.,GOOGL,NSDQ,Computer and Technology,Internet - Services,1844370.63,12,29.99,27.16,25.6,52.31,101.86,108.04,0.9472376218696233,0.06067150991557046,0.2867284762865792,4.219443365695788,1.8
Garmin Ltd.,GRMN,NSDQ,Computer and Technology,Electronics - Miscellaneous Products,32473.55,12,27.37,30.13,26.74,4.78,5.6,6.31,0.17154811715481158,0.12678571428571428,1.7563585365853671,2.1090704225352113,4.43
"Guidewire Software, Inc.",GWRE,NYSE,Computer and Technology,Business - Software Services,9205.23,7,116.53,11070.0,395.36,0.4,0.01,0.28,-0.975,27.0,-113.53846153846153,0.14642962962962963,
Hewlett Packard Enterprise Company,HPE,NYSE,Computer and Technology,Computer - Integrated Systems,19588.91,10,8.98,7.94,7.62,1.32,1.89,1.97,0.43181818181818166,0.04232804232804237,0.18387368421052638,1.8002249999999982,1.02
HP Inc.,HPQ,NYSE,Computer and Technology,Computer - Mini computers,35364.96,10,9.95,8.41,8.39,2.19,3.5,3.51,0.5981735159817352,0.0028571428571427964,0.14059465648854963,29.365000000000627,0.99
"HubSpot, Inc.",HUBS,NYSE,Computer and Technology,Internet - Software,30860.43,12,462.35,388.13,271.73,1.14,1.69,2.42,0.48245614035087725,0.4319526627218935,8.044876363636362,6.290735616438356,14.7
HUYA Inc. Sponsored ADR,HUYA,NYSE,Computer and Technology,Internet - Software and Services,2240.56,12,12.02,21.11,14.18,0.77,0.45,0.67,-0.41558441558441556,0.48888888888888893,-0.507959375,0.2900454545454545,3.52
International Business Machines Corporation,IBM,NYSE,Computer and Technology,Computer - Integrated Systems,128702.59,12,16.41,13.25,12.17,8.36,10.83,11.8,0.2954545454545455,0.08956602031394281,0.44846153846153836,1.3587742268041227,1.63
"Ichor Holdings, Ltd.",ICHR,NSDQ,Computer and Technology,Electronics - Semiconductors,1166.97,12,13.32,11.18,9.88,2.38,3.68,4.17,0.5462184873949582,0.1331521739130434,0.20467999999999992,0.7420081632653066,
"InterDigital, Inc.",IDCC,NSDQ,Computer and Technology,Wireless Equipment,2192.18,12,101.99,53.28,28.22,1.45,1.34,2.53,-0.07586206896551716,0.8880597014925371,-7.023272727272736,0.31777142857142865,3.55
Infosys Limited,INFY,NYSE,Computer and Technology,Computers - IT Services,99256.64,3,36.0,33.98,30.52,0.62,0.69,0.77,0.11290322580645154,0.11594202898550736,3.009657142857144,2.6323499999999975,3.4
"Inovalon Holdings, Inc.",INOV,NSDQ,Computer and Technology,Computers - IT Services,5915.78,12,51.84,50.62,42.04,0.6,0.75,0.9,0.25000000000000006,0.20000000000000004,2.0247999999999995,2.1019999999999994,1.95
Intel Corporation,INTC,NSDQ,Computer and Technology,Semiconductor - General,216927.8,12,10.09,11.16,12.0,4.89,4.79,4.46,-0.020449897750511176,-0.0688935281837161,-5.457240000000019,-1.7418181818181813,1.49
Intuit Inc.,INTU,NSDQ,Computer and Technology,Computer - Software,148363.39,7,57.15,50.1,42.23,9.35,10.84,12.86,0.1593582887700535,0.18634686346863466,3.143859060402684,2.26620396039604,3.4
IPG Photonics Corporation,IPGP,NSDQ,Computer and Technology,Lasers Systems and Components,9019.59,12,33.85,33.08,26.22,3.02,5.1,6.43,0.6887417218543045,0.2607843137254902,0.4802961538461539,1.0054285714285713,
"Itron, Inc.",ITRI,NSDQ,Computer and Technology,Electronics - Testing Equipment,3532.91,12,37.91,52.92,29.11,1.48,1.48,2.68,0.0,0.810810810810811,inf,0.35902333333333325,4.41
"Jabil, Inc.",JBL,NYSE,Computer and Technology,Electronics - Manufacturing Services,8794.99,8,11.71,10.9,10.15,2.58,5.53,5.95,1.1434108527131783,0.07594936708860758,0.09532881355932203,1.336416666666667,0.91
"j2 Global, Inc.",JCOM,NSDQ,Computer and Technology,Internet - Software,6329.69,12,13.51,13.66,12.74,7.92,9.61,10.31,0.21338383838383831,0.07284079084287212,0.6401609467455623,1.7490199999999974,1.71
"Jack Henry & Associates, Inc.",JKHY,NSDQ,Computer and Technology,Electronics - Miscellaneous Services,13203.04,6,45.81,39.06,34.99,4.0,4.55,5.08,0.13749999999999996,0.11648351648351654,2.8407272727272734,3.0038584905660364,2.79
"Juniper Networks, Inc.",JNPR,NYSE,Computer and Technology,Wireless Equipment,9322.1,12,16.77,16.63,14.91,1.54,1.72,1.92,0.11688311688311684,0.11627906976744183,1.4227888888888893,1.2822600000000002,1.41
Keysight Technologies Inc.,KEYS,NYSE,Computer and Technology,Electronics - Measuring Instruments,30995.97,10,29.34,28.22,25.73,4.7,5.91,6.48,0.2574468085106383,0.09644670050761425,1.0961487603305786,2.6677947368421044,2.58
KLA Corporation,KLAC,NSDQ,Computer and Technology,Electronics - Miscellaneous Products,50279.54,6,22.63,17.06,16.27,14.07,19.3,20.23,0.3717128642501777,0.04818652849740931,0.45895640535372845,3.376462365591399,1.22
"Kulicke and Soffa Industries, Inc.",KLIC,NSDQ,Computer and Technology,Electronics - Manufacturing Machinery,4057.7,9,15.3,10.86,12.39,0.96,6.03,5.28,5.281250000000001,-0.12437810945273631,0.02056331360946745,-0.9961560000000002,
Knowles Corporation,KN,NYSE,Computer and Technology,Communication - Components,1832.37,12,15.94,14.26,13.19,0.64,1.4,1.51,1.1874999999999998,0.07857142857142865,0.12008421052631582,1.6787272727272708,1.43
KT Corporation,KT,NYSE,Computer and Technology,Wireless Non-US ,7116.9,12,10.75,9.36,8.9,1.26,1.55,1.63,0.23015873015873017,0.051612903225806354,0.4066758620689655,1.7243750000000033,0.95
nLight Inc.,LASR,NSDQ,Computer and Technology,Electronics - Semiconductors,1098.1,12,65.18,69.33,36.14,0.12,0.37,0.7,2.0833333333333335,0.8918918918918918,0.33278399999999997,0.4052060606060607,
"Littelfuse, Inc.",LFUS,NSDQ,Computer and Technology,Electronics - Miscellaneous Components,6874.58,12,26.67,25.18,23.84,5.71,11.09,11.71,0.9422066549912435,0.055906221821460864,0.26724498141263936,4.264283870967735,2.1
Liberty Latin America Ltd.,LILA,NSDQ,Computer and Technology,Wireless National,3116.06,12,,40.51,32.61,-3.01,0.33,0.41,-1.1096345514950166,0.2424242424242423,-0.3650751497005988,1.3451625000000007,
Lumentum Holdings Inc.,LITE,NSDQ,Computer and Technology,Lasers Systems and Components,5949.04,6,12.34,13.93,12.87,6.23,5.63,6.09,-0.09630818619582672,0.0817051509769094,-1.4463983333333321,1.575176086956522,
