,Company Name,Ticker,Exchange,Sector,Industry,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,PEG Ratio
105,Lions Gate Entertainment Corp.,LGF.B,NYSE,Consumer Discretionary,Film and Television Production and Distribution,2545.92,3,15.74,,,,,,
110,Las Vegas Sands Corp.,LVS,NYSE,Consumer Discretionary,Gaming,30063.0,12,,,21.23,-2.06,-0.75,1.85,
111,"Live Nation Entertainment, Inc.",LYV,NYSE,Consumer Discretionary,Leisure and Recreation Services,17768.86,12,,,110.25,-8.52,-3.4,0.74,
115,Man Wah Holdings Limited,MAWHY,OTC,Consumer Discretionary,Furniture,8331.79,3,,,,,,,
118,"Mister Car Wash, Inc.",MCW,NYSE,Consumer Discretionary,Consumer Services - Miscellaneous,5444.78,12,,44.85,39.69,,0.41,0.46,0.85
119,Melco International Development Ltd.,MDEVF,OTC,Consumer Discretionary,Gaming,2325.6,12,,,,,,,
120,MGM Resorts International,MGM,NYSE,Consumer Discretionary,Gaming,18995.72,12,,,89.59,-2.15,-1.21,0.44,
122,Makita Corp.,MKTAY,OTC,Consumer Discretionary,Tools - Handheld,14423.52,3,22.7,,,2.19,,,
123,Melco Resorts & Entertainment Limited,MLCO,NSDQ,Consumer Discretionary,Gaming,5790.15,12,,,69.69,-2.83,-0.94,0.17,
125,STUDIO CITY IH,MSC,NYSE,Consumer Discretionary,Leisure and Recreation Services,1072.84,12,,,,,,,
126,Madison Square Garden Entertainment Corp.,MSGE,NYSE,Consumer Discretionary,Leisure and Recreation Services,1591.34,6,,,,-15.5,-2.28,,
129,CECONOMY AG,MTTRY,OTC,Consumer Discretionary,Consumer Products - Discretionary,1725.22,9,,,,,,,
130,Norwegian Cruise Line Holdings Ltd.,NCLH,NYSE,Consumer Discretionary,Leisure and Recreation Services,9113.84,12,,,158.17,-8.64,-6.69,0.16,
133,Naspers Ltd.,NPSNY,OTC,Consumer Discretionary,Cable Television,77804.05,3,,,,,,,
135,News Corporation,NWS,NSDQ,Consumer Discretionary,Film and Television Production and Distribution,13535.5,6,34.19,,,,,,
138,ORIENTAL LAND,OLCLY,OTC,Consumer Discretionary,Hotels and Motels,51498.53,3,,,48.0,-0.27,0.0,0.59,
140,Ozon Holdings PLC Sponsored ADR,OZON,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,10642.76,12,,,,-1.3,-2.29,-3.03,
142,Prosiebensat.1 Media Se,PBSFY,OTC,Consumer Discretionary,Cable Television,4117.34,12,10.83,,,,,,
145,PIGEON CORP,PGENY,OTC,Consumer Discretionary,Consumer Products - Discretionary,3649.6,1,,,,,,,
148,Playa Hotels & Resorts N.V.,PLYA,NSDQ,Consumer Discretionary,Hotels and Motels,1073.99,12,,,104.64,-1.48,-0.6,0.06,
154,"PowerSchool Holdings, Inc.",PWSC,NYSE,Consumer Discretionary,Schools,5198.19,12,,,,,,,
155,Roblox Corporation,RBLX,NYSE,Consumer Discretionary,Gaming,41077.55,12,,77.63,83.76,,1.02,0.95,
158,Royal Caribbean Cruises Ltd.,RCL,NYSE,Consumer Discretionary,Leisure and Recreation Services,19975.67,12,,,127.01,-18.3,-16.24,0.62,
159,"The RealReal, Inc.",REAL,NSDQ,Consumer Discretionary,Consumer Products - Discretionary,1183.97,12,,,,-1.62,-1.99,-1.2,
163,RLX Technology Inc. Sponsored ADR,RLX,NYSE,Consumer Discretionary,Consumer Products - Discretionary,7067.59,12,,,,,,,
166,"Rush Street Interactive, Inc.",RSI,NYSE,Consumer Discretionary,Gaming,2917.25,12,,,,-3.04,-0.27,-0.46,
167,"Sinclair Broadcast Group, Inc.",SBGI,NSDQ,Consumer Discretionary,Broadcast Radio and Television,2201.88,12,6.18,,28.66,13.65,-5.85,1.02,
168,Sands China Ltd.,SCHYY,OTC,Consumer Discretionary,Hotels and Motels,25857.74,12,,,24.96,-1.92,-0.5,1.28,
170,Score Media and Gaming Inc.,SCR,NSDQ,Consumer Discretionary,Gaming,1714.03,8,,,,,-1.53,-1.12,
172,ShangriLa Asia Ltd.,SHALY,OTC,Consumer Discretionary,Hotels and Motels,3155.26,12,,,,,,,
178,Skillz Inc.,SKLZ,NYSE,Consumer Discretionary,Gaming,4401.03,12,,,,-0.33,-0.61,-0.42,
180,Shimano Inc. Unsponsored ADR,SMNNY,OTC,Consumer Discretionary,Leisure and Recreation Products,26054.17,12,43.24,,,,,,
189,Swedish Match AB Unsponsored ADR,SWMAY,OTC,Consumer Discretionary,Consumer Products - Discretionary,14030.4,12,5.35,,,0.35,,,
198,TUI AG ADR,TUIFY,OTC,Consumer Discretionary,Leisure and Recreation Services,2591.57,9,,,18.33,-1.73,-0.89,0.12,
200,TELEVISION FRAN,TVFCF,OTC,Consumer Discretionary,Cable Television,2072.97,12,,,,,,,
201,"Under Armour, Inc.",UA,NYSE,Consumer Discretionary,Textile - Apparel,9913.45,12,27.14,,,,,,
204,Universal Entertainment Corp.,UETMF,OTC,Consumer Discretionary,Gaming,1784.34,3,,,,,,,
207,VINDA INTL,VDAHF,OTC,Consumer Discretionary,Consumer Products - Discretionary,3332.0,12,,,,,,,
210,ViacomCBS Inc.,VIACA,NSDQ,Consumer Discretionary,Film and Television Production and Distribution,27787.47,12,9.68,,,,,,
211,Victorias Secret & Co.,VSCO,NYSE,Consumer Discretionary,Leisure and Recreation Products,6336.35,1,,9.21,8.96,,7.8,8.01,
213,VIZIO Holding Corp.,VZIO,NYSE,Consumer Discretionary,Consumer Products - Discretionary,3789.72,12,,,88.29,,-0.18,0.23,
214,Wacoal Holdings Corp.,WACLY,OTC,Consumer Discretionary,Textile - Apparel,1388.46,3,13.73,,,,,,
215,Weber Inc.,WEBR,NYSE,Consumer Discretionary,Household Appliances,4448.4,12,,,,,,,
224,Wynn Macau Ltd.,WYNMF,OTC,Consumer Discretionary,Gaming,5664.69,12,,,36.33,-0.17,-0.09,0.03,
225,"Wynn Resorts, Limited",WYNN,NSDQ,Consumer Discretionary,Gaming,10839.59,12,,,952.98,-19.21,-5.56,0.1,
5,Ajinomoto Co.,AJINY,OTC,Consumer Staples,Food - Miscellaneous,15063.54,3,26.89,,,,,,
6,Embotelladora Andina S.A.,AKO.A,NYSE,Consumer Staples,Beverages - Soft drinks,1861.59,12,11.8,,,,,,
9,Aramark,ARMK,NYSE,Consumer Staples,Food - Miscellaneous,8800.73,9,,,18.94,-0.13,-0.32,1.82,
12,Brown Forman Corporation,BF.A,NYSE,Consumer Staples,Beverages - Alcohol,31684.21,4,41.36,,,,,,
17,Health and Happiness H&H International Holdings Limited,BTSDF,OTC,Consumer Staples,Consumer Products - Staples,2310.83,12,,11.33,9.54,,0.32,0.38,
20,"Beyond Meat, Inc.",BYND,NSDQ,Consumer Staples,Food - Meat Products,7515.26,12,,,,-0.44,-1.21,-0.54,
28,"The Chefs Warehouse, Inc.",CHEF,NSDQ,Consumer Staples,Food - Miscellaneous,1110.29,12,,,42.09,-1.78,-0.33,0.69,
33,CocaCola Bottling Co. Consolidated,COKE,NSDQ,Consumer Staples,Beverages - Soft drinks,3809.47,12,14.22,,,,,,
36,C.P. Pokphand Co.,CPKPY,OTC,Consumer Staples,Agriculture - Operations,2460.14,12,,,,,,,
41,Dairy Farm International Holdings Ltd.,DFIHY,OTC,Consumer Staples,Food - Dairy Products,4676.31,12,,,,,,,
42,"Krispy Kreme, Inc.",DNUT,NSDQ,Consumer Staples,Consumer Products - Staples,2391.77,12,,36.55,28.39,,0.4,0.51,
43,Dole PLC,DOLE,NYSE,Consumer Staples,Agriculture - Operations,1485.85,12,,,,,,,
48,"European Wax Center, Inc.",EWCZ,NSDQ,Consumer Staples,Cosmetics,1488.39,12,,,,,,,
49,"Fresh Del Monte Produce, Inc.",FDP,NYSE,Consumer Staples,Agriculture - Operations,1555.48,12,15.37,,,,,,
54,"Freshpet, Inc.",FRPT,NSDQ,Consumer Staples,Food - Miscellaneous,5630.73,12,,,204.5,0.08,-0.11,0.63,
71,JBS SA,JBSAY,OTC,Consumer Staples,Food - Meat Products,15217.48,12,6.81,,,,,,
72,"John B. Sanfilippo & Son, Inc.",JBSS,NSDQ,Consumer Staples,Food - Miscellaneous,1016.21,6,17.76,,,,,,
75,"John Wiley & Sons, Inc.",JW.A,NYSE,Consumer Staples,Publishing - Books,3302.4,4,20.11,20.22,,2.67,2.92,,
76,"John Wiley & Sons, Inc.",JW.B,NYSE,Consumer Staples,Publishing - Books,3254.24,4,19.82,,,,,,
85,Lancaster Colony Corporation,LANC,NSDQ,Consumer Staples,Food - Miscellaneous,5240.44,6,36.45,30.49,,6.04,6.24,,
88,Luckin Coffee Inc. Sponsored ADR,LKNCY,OTC,Consumer Staples,Beverages - Soft drinks,3651.05,12,,,,,,,
94,Meredith Corporation,MDP,NYSE,Consumer Staples,Publishing - Periodicals,2040.47,6,7.69,7.97,,7.67,5.61,,
97,Marine Harvest ASA,MHGVY,OTC,Consumer Staples,Food - Miscellaneous,13279.41,12,50.35,,,,,,
109,Oatly Group AB Sponsored ADR,OTLY,NSDQ,Consumer Staples,Food - Dairy Products,9723.85,12,,,,,-0.34,-0.22,
124,Scholastic Corporation,SCHL,NSDQ,Consumer Staples,Publishing - Books,1150.86,5,33.15,,,,,,
126,Seaboard Corporation,SEB,AMEX,Consumer Staples,Food - Miscellaneous,4823.04,12,6.35,,,,,,
128,San Miguel Corp.,SMGBY,OTC,Consumer Staples,Food - Miscellaneous,5194.7,12,39.0,,,0.4,,,
134,Constellation Brands Inc,STZ.B,NYSE,Consumer Staples,Beverages - Alcohol,41736.52,2,21.73,,,,,,
135,Swatch Group AG,SWGAY,OTC,Consumer Staples,Consumer Products - Staples,45623.6,12,,,,,,,
136,"SchweitzerMauduit International, Inc.",SWM,NYSE,Consumer Staples,Tobacco,1184.69,12,9.78,9.66,,,3.9,,
142,ThredUp Inc.,TDUP,NSDQ,Consumer Staples,Consumer Products - Staples,2146.01,12,,,,,-0.55,-0.27,
144,"Tootsie Roll Industries, Inc.",TR,NYSE,Consumer Staples,Food - Confectionery,2320.24,12,38.01,,,,,,
145,Tsingtao Brewery Co.,TSGTY,OTC,Consumer Staples,Beverages - Alcohol,11840.58,12,36.46,,,1.26,,,
147,"Tattooed Chef, Inc.",TTCF,NSDQ,Consumer Staples,Consumer Products - Staples,1338.78,12,,,55.76,0.16,-0.07,0.29,
154,Universal Corporation,UVV,NYSE,Consumer Staples,Tobacco,1232.83,3,11.3,,,,,,
157,George Weston Ltd.,WNGRF,OTC,Consumer Staples,Food - Miscellaneous,16039.83,12,17.7,,,,,,
160,Yatsen Holding Limited Sponsored ADR,YSG,NYSE,Consumer Staples,Consumer Products - Staples,2320.93,12,,,,-0.38,-0.25,-0.12,
0,AIA GROUP LTD,AAGIY,OTC,Finance,Insurance - Life Insurance,146883.41,12,,,,,,,
6,Agri Bank China,ACGBY,OTC,Finance,Banks - Foreign,117244.31,12,3.84,3.4,3.15,,2.46,2.66,
8,iShares MSCI ACWI ETF,ACWI,NSDQ,Finance,Financial - Investment Funds,17325.26,12,,,,,,,
10,"Adams Diversified Equity Fund, Inc.",ADX,NYSE,Finance,Financial - Investment Funds,2282.96,12,,,,,,,
18,iShares Core U.S. Aggregate Bond ETF,AGG,NYSE,Finance,Financial - Investment Funds,88774.55,12,,,,,,,
19,Federal Agricultural Mortgage Corporation,AGM,NYSE,Finance,Financial - Mortgage & Related Services,1073.66,12,9.8,,,,,,
21,Assured Guaranty Ltd.,AGO,NYSE,Finance,Insurance - Multi line,3670.02,12,14.74,,,,,,
22,Agile Property Holdings Ltd.,AGPYY,OTC,Finance,Real Estate - Development,4494.42,12,,,,15.48,,,
28,ASHMORE GROUP,AJMPF,OTC,Finance,Financial - Investment Management,3809.59,6,,15.72,,0.39,0.34,,
29,Akbank Turk Anonim Sirketi,AKBTY,OTC,Finance,Banks - Foreign,3445.0,12,3.9,,,,,,
32,Allianz SE,ALIZY,OTC,Finance,Insurance - Multi line,97548.55,12,9.58,9.45,9.1,,2.51,2.6,
42,"American National Group, Inc.",ANAT,NSDQ,Finance,Insurance - Multi line,5162.07,12,,,,,,,
60,"AllianceBernstein Global High Income Fund, Inc.",AWF,NYSE,Finance,Financial - Investment Funds,1073.56,3,15.18,,,,,,
66,Bank of China Ltd.,BACHY,OTC,Finance,Banks - Foreign,102211.45,12,3.79,3.42,3.26,,2.54,2.66,
71,Liberty Media Corporation,BATRK,NSDQ,Finance,Real Estate - Operations,1042.36,12,,,231.27,-1.36,-1.09,0.11,
73,Banco Bradesco SA,BBDO,NYSE,Finance,Banks - Foreign,36707.02,12,7.55,,,,,,
76,Bank of Communications Co.,BCMXY,OTC,Finance,Banks - Foreign,42062.42,12,3.66,3.47,3.26,,4.08,4.35,
79,Banco Do Brasil SA,BDORY,OTC,Finance,Banks - Foreign,16132.31,12,6.55,,,,,,
85,BOC Hong Kong  Ltd.,BHKLY,OTC,Finance,Banks - Foreign,34403.77,12,,,,6.61,,,
87,BOULDER GR&INC,BIF,NYSE,Finance,Financial - Investment Funds,1379.72,6,,,,,,,
88,Brookfield Infrastructure Corporation,BIPC,NYSE,Finance,Financial - Miscellaneous Services,2897.42,12,,,,,,,
102,Boardwalk Real Estate Investment Trust,BOWFF,OTC,Finance,REIT and Equity Trust - Residential,1740.74,12,17.07,,,,,,
105,Bridge Investment Group Holdings Inc.,BRDG,NYSE,Finance,REIT and Equity Trust - Other,2051.38,12,,27.1,18.79,,0.69,1.0,
106,Berkshire Hathaway Inc.,BRK.A,NYSE,Finance,Insurance - Property and Casualty,656123.5,12,27.81,,,,,,
110,BR Malls Participacoes SA,BRMSY,OTC,Finance,Real Estate - Operations,1746.28,12,11.43,,,,,,
122,SPDR Bloomberg Barclays International Treasury Bond ETF,BWX,NYSE,Finance,Financial - Investment Funds,1006.63,12,,,,,,,
139,Central Securities Corporation,CET,AMEX,Finance,Financial - Investment Funds,1115.14,12,,,,,,,
144,Chiba Bank Ltd.,CHBAY,OTC,Finance,Banks - Foreign,4628.9,3,8.95,,,,,,
145,China CITIC Bank Corporation Limited,CHCJY,OTC,Finance,Banks - Foreign,22687.0,12,,,,,,,
150,China Construction Bank Corp.,CICHY,OTC,Finance,Banks - Foreign,180757.23,12,4.55,4.08,3.85,,3.54,3.76,
159,CapitaLand Ltd.,CLLDY,OTC,Finance,Real Estate - Operations,15661.62,12,,,,,,,
162,CHINA MINSHENG,CMAKY,OTC,Finance,Banks - Foreign,18082.14,12,,,,,,,
166,"Cannae Holdings, Inc.",CNNE,NYSE,Finance,Financial - Investment Management,2935.48,12,42.87,,110.03,14.95,-1.4,0.3,
169,Cohen & Steers Inc,CNS,NYSE,Finance,Financial - Investment Management,4223.77,12,27.7,,,2.49,,,
172,"Coinbase Global, Inc.",COIN,NSDQ,Finance,Securities and Exchanges,53590.7,12,,19.76,34.68,,13.0,7.41,0.3
181,Commerzbank AG,CRZBY,OTC,Finance,Banks - Foreign,7827.23,12,,,10.08,-2.84,-0.44,0.62,
191,SmartCentres Real Estate Investment Trust,CWYUF,OTC,Finance,REIT and Equity Trust - Retail,4153.37,12,13.55,,,,,,
194,Cyrela Brazil Realty SA,CYRBY,OTC,Finance,Real Estate - Development,1389.97,12,13.9,,,,,,
196,Invesco DB Commodity Index Tracking ETF,DBC,NYSE,Finance,Financial - Investment Funds,2423.15,12,,,,,,,
203,WisdomTree Emerging Markets High Dividend ETF,DEM,NYSE,Finance,Financial - Investment Funds,1975.6,12,,,,,,,
205,SPDR Dow Jones Industrial Average ETF,DIA,NYSE,Finance,Financial - Investment Funds,31071.51,12,,,,,,,
206,"Daito Trust Construction Co., Ltd.",DIFTY,OTC,Finance,Real Estate - Operations,7658.28,3,,,,,,,
209,DANSKE BANK AS,DNKEY,OTC,Finance,Banks - Foreign,15502.08,12,9.88,,,,,,
210,DNP Select Income Fund Inc.,DNP,NYSE,Finance,Financial - Investment Funds,3685.96,12,,,,,,,
214,Daiwa Securities Group Inc.,DSEEY,OTC,Finance,Financial - Miscellaneous Services,9312.59,3,11.18,,,,,,
215,iShares Select Dividend ETF,DVY,NSDQ,Finance,Financial - Investment Funds,18415.91,12,,,,,,,
223,iShares MSCI Emerging Markets ETF,EEM,NYSE,Finance,Financial - Investment Funds,30217.77,12,,,,,,,
224,iShares MSCI EAFE ETF,EFA,NYSE,Finance,Financial - Investment Funds,58417.2,12,,,,,,,
231,iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,NSDQ,Finance,Financial - Investment Funds,20827.83,12,,,,,,,
233,iShares MSCI Pacific ex Japan ETF,EPP,NYSE,Finance,Financial - Investment Funds,2476.58,12,,,,,,,
236,Equity Commonwealth,EQC,NYSE,Finance,REIT and Equity Trust - Other,3269.22,12,1340.5,,,0.16,,,
241,Enstar Group Limited,ESGR,NSDQ,Finance,Insurance - Multi line,4676.46,12,5.45,,,,,,
246,iShares MSCI Australia ETF,EWA,NYSE,Finance,Financial - Investment Funds,1506.08,12,,,,,,,
248,iShares MSCI Germany ETF,EWG,NYSE,Finance,Financial - Investment Funds,2911.25,12,,,,,,,
249,iShares MSCI Hong Kong ETF,EWH,NYSE,Finance,Financial - Investment Funds,1067.33,12,,,,,,,
250,iShares MSCI Japan ETF,EWJ,NYSE,Finance,Financial - Investment Funds,11779.78,12,,,,,,,
251,iShares MSCI Switzerland ETF,EWL,NYSE,Finance,Financial - Investment Funds,1700.74,12,,,,,,,
252,iShares MSCI United Kingdom ETF,EWU,NYSE,Finance,Financial - Investment Funds,3621.55,12,,,,,,,
253,iShares MSCI South Korea ETF,EWY,NYSE,Finance,Financial - Investment Funds,6037.99,12,,,,,,,
254,iShares MSCI Brazil ETF,EWZ,NYSE,Finance,Financial - Investment Funds,5360.03,12,,,,,,,
257,iShares MSCI Eurozone ETF,EZU,AMEX,Finance,Financial - Investment Funds,8268.72,12,,,,,,,
259,Direxion Daily Financial Bull 3X Shares,FAS,NYSE,Finance,Financial - Investment Funds,3397.88,12,,,,,,,
260,Aberdeen AsiaPacific Income Fund Inc,FAX,AMEX,Finance,Financial - Investment Funds,1070.05,10,,,,,,,
267,"First Citizens BancShares, Inc.",FCNCA,NSDQ,Finance,Banks - Southeast,8337.86,12,14.84,18.7,10.38,,45.42,81.83,
269,First Trust Dow Jones Internet ETF,FDN,NYSE,Finance,Financial - Investment Funds,10664.43,12,,,,,,,
273,Fairfax India Holdings Corporation,FFXDF,OTC,Finance,Financial - Investment Management,2150.26,12,4.68,,,,,,
278,First National of Nebraska Inc.,FINN,OTC,Finance,Banks - West,3753.0,12,,,,,,,
279,PPDAI Group Inc. Sponsored ADR,FINV,NYSE,Finance,Financial - Miscellaneous Services,1649.66,12,5.44,,,,,,
282,Farmers & Merchants Bank of Long Beach,FMBL,OTCBB,Finance,Banks - West,1026.62,12,10.77,,,,,,
285,Fannie Mae,FNMA,OTCBB,Finance,Financial - Mortgage & Related Services,1264.4,12,109.0,,,0.0,,,
288,"Five Point Holdings, LLC",FPH,NYSE,Finance,Real Estate - Development,1192.81,12,89.56,12.21,50.38,,0.66,0.16,
289,PROVIDENT FIN,FPLPY,OTC,Finance,Financial - Consumer Loans,1014.46,12,,,,-0.29,,,
292,Fairfax Financial Holdings Ltd.,FRFHF,OTC,Finance,Insurance - Property and Casualty,12154.3,12,3.95,,,,,,
298,Fortress Transportation and Infrastructure Investors LLC,FTAI,NYSE,Finance,Financial - Miscellaneous Services,2347.43,12,,,10.9,-0.85,-0.06,2.52,
300,iShares China LargeCap ETF,FXI,NYSE,Finance,Financial - Investment Funds,4848.71,12,,,,,,,
301,Gabelli Equity Trust Inc.,GAB,NYSE,Finance,Financial - Investment Funds,1785.29,12,,,,,,,
303,"General American Investors, Inc.",GAM,NYSE,Finance,Financial - Investment Funds,1087.89,12,,,,,,,
306,Grupo Financiero Banorte SAB de CV,GBOOY,OTC,Finance,Financial - Miscellaneous Services,18833.59,12,,,,,,,
308,Great Eagle Holdings Ltd.,GEAHF,OTC,Finance,Real Estate - Operations,2160.51,12,,,,,,,
313,SPDR Gold Shares,GLD,NYSE,Finance,Financial - Investment Funds,58811.28,9,,,,,,,
316,"Genworth Financial, Inc.",GNW,NYSE,Finance,Insurance - Life Insurance,1857.03,12,2.79,,,,,,
319,Grupo Financiero Inbursa SA,GPFOY,OTC,Finance,Banks - Foreign,5821.31,12,,,,,,,
324,iShares S&P GSCI CommodityIndexed Trust,GSG,NYSE,Finance,Financial - Investment Funds,1303.27,12,,,,,,,
328,GazitGlobe Ltd.,GZTGF,OTC,Finance,Real Estate - Development,1291.36,12,41.18,,,,,,
335,AMTD International Inc. Unsponsored ADR,HKIB,NYSE,Finance,Financial - Investment Management,1399.98,12,,,,,,,
339,Hang Lung Properties Ltd.,HLPPY,OTC,Finance,Real Estate - Operations,12264.55,12,,,,,,,
341,Hongkong Land Holdings Ltd.,HNGKY,OTC,Finance,Real Estate - Development,9933.2,12,,,,,,,
342,Hang Lung Group Ltd.,HNLGY,OTC,Finance,Real Estate - Operations,3444.89,12,,,,,,,
344,"Robinhood Markets, Inc.",HOOD,NSDQ,Finance,Financial - Investment Bank,39435.51,12,,,,,,,
347,Tekla Healthcare Investors,HQH,NYSE,Finance,Financial - Investment Funds,1193.16,9,,,,,,,
359,iShares iBoxx  High Yield Corporate Bond ETF,HYG,NYSE,Finance,Financial - Investment Funds,19239.05,12,,,,,,,
360,iShares Gold Trust,IAU,NYSE,Finance,Financial - Investment Funds,28615.83,12,,,,,,,
361,iShares Biotechnology ETF,IBB,NSDQ,Finance,Financial - Investment Funds,11274.39,12,,,,,,,
364,International Bancshares Corporation,IBOC,NSDQ,Finance,Banks - Southwest,2692.69,12,11.52,,,,,,
367,iShares Cohen & Steers REIT ETF,ICF,AMEX,Finance,Financial - Investment Funds,2556.56,12,,,,,,,
368,Industrial & Commercial Bank of China Ltd.,IDCBY,OTC,Finance,Banks - Foreign,200834.95,12,4.44,4.03,3.77,,2.8,2.99,
369,iShares International Select Dividend ETF,IDV,AMEX,Finance,Financial - Investment Funds,4500.18,12,,,,,,,
370,iShares 710 Year Treasury Bond ETF,IEF,NSDQ,Finance,Financial - Investment Funds,14628.75,12,,,,,,,
372,iShares 510 Year Investment Grade Corporate Bond ETF,IGIB,NSDQ,Finance,Financial - Investment Funds,11801.86,12,,,,,,,
373,iShares 15 Year Investment Grade Corporate Bond ETF,IGSB,NSDQ,Finance,Financial - Investment Funds,25207.02,12,,,,,,,
375,InterRent Real Estate Investment Trust,IIPZF,OTC,Finance,REIT and Equity Trust - Residential,1928.2,12,,,,,,,
376,iShares Core S&P MidCap ETF,IJH,NYSE,Finance,Financial - Investment Funds,63601.45,12,,,,,,,
377,iShares S&P MidCap 400 Value ETF,IJJ,NYSE,Finance,Financial - Investment Funds,8741.53,12,,,,,,,
378,iShares S&P MidCap 400 Growth ETF,IJK,NYSE,Finance,Financial - Investment Funds,8188.62,12,,,,,,,
379,iShares Core S&P SmallCap ETF,IJR,NYSE,Finance,Financial - Investment Funds,68452.06,12,,,,,,,
380,iShares S&P SmallCap 600 Value ETF,IJS,NYSE,Finance,Financial - Investment Funds,8718.59,12,,,,,,,
381,iShares S&P SmallCap 600 Growth ETF,IJT,NSDQ,Finance,Financial - Investment Funds,6232.76,12,,,,,,,
382,iShares Latin America 40 ETF,ILF,NYSE,Finance,Financial - Investment Funds,1538.25,12,,,,,,,
391,Ita CorpBanca,ITCB,NYSE,Finance,Banks - Foreign,1267.35,12,23.19,,,,,,
393,iShares Core S&P 500 ETF,IVV,NYSE,Finance,Financial - Investment Funds,301503.5,12,,,,,,,
395,iShares Russell 1000 Value ETF,IWD,NYSE,Finance,Financial - Investment Funds,55380.54,12,,,,,,,
396,iShares Russell 1000 Growth ETF,IWF,NYSE,Finance,Financial - Investment Funds,73720.24,12,,,,,,,
397,iShares Russell 2000 ETF,IWM,NYSE,Finance,Financial - Investment Funds,65907.21,12,,,,,,,
398,iShares Russell 2000 Value ETF,IWN,NYSE,Finance,Financial - Investment Funds,15553.23,12,,,,,,,
399,iShares Russell 2000 Growth ETF,IWO,NYSE,Finance,Financial - Investment Funds,11672.2,12,,,,,,,
400,iShares Russell MidCap Growth ETF,IWP,NYSE,Finance,Financial - Investment Funds,16056.04,12,,,,,,,
401,iShares Russell MidCap ETF,IWR,NYSE,Finance,Financial - Investment Funds,29966.14,12,,,,,,,
402,iShares Russell MidCap Value ETF,IWS,NYSE,Finance,Financial - Investment Funds,14455.63,12,,,,,,,
404,iShares U.S. Energy ETF,IYE,NYSE,Finance,Financial - Investment Funds,2124.63,12,,,,,,,
405,iShares U.S. Real Estate ETF,IYR,NYSE,Finance,Financial - Investment Funds,5521.9,12,,,,,,,
406,iShares U.S. Technology ETF,IYW,NYSE,Finance,Financial - Investment Funds,8508.63,12,,,,,,,
411,SPDR Bloomberg Barclays High Yield Bond ETF,JNK,NYSE,Finance,Financial - Investment Funds,8677.33,12,,,,,,,
412,St. Joe Company The,JOE,NYSE,Finance,Real Estate - Development,2635.58,12,52.05,,,,,,
414,"James River Group Holdings, Ltd.",JRVR,NSDQ,Finance,Insurance - Multi line,1436.98,12,,,16.23,0.6,-1.83,2.38,
415,KB Financial Group Inc,KB,NYSE,Finance,Banks - Foreign,18910.95,12,4.95,,,7.96,,,
426,Kearny Financial,KRNY,NSDQ,Finance,Financial - Savings and Loan,1041.42,6,15.91,,,,,,
428,Loews Corporation,L,NYSE,Finance,Insurance - Multi line,14265.79,12,13.49,,,,,,
432,LendingClub Corporation,LC,NYSE,Finance,Financial - Miscellaneous Services,2776.61,12,,,24.7,-1.53,-0.12,1.14,
433,"loanDepot, Inc.",LDI,NYSE,Finance,Financial - Mortgage & Related Services,2595.2,12,,4.46,4.38,,1.89,1.93,
434,LEG Immobilien AG,LEGIF,OTC,Finance,Real Estate - Operations,11824.13,12,10.36,,,6.35,,,
440,"Lemonade, Inc.",LMND,NYSE,Finance,Insurance - Multi line,4424.09,12,,,,-4.32,-3.76,-3.91,
445,iShares iBoxx  Investment Grade Corporate Bond ETF,LQD,NYSE,Finance,Financial - Investment Funds,42953.85,12,,,,,,,
456,iShares MBS ETF,MBB,NSDQ,Finance,Financial - Investment Funds,24837.94,12,,,,,,,
464,"Mizuho Financial Group, Inc.",MFG,NYSE,Finance,Banks - Foreign,37532.8,3,8.97,,,0.33,,,
471,"Marcus & Millichap, Inc.",MMI,NYSE,Finance,Real Estate - Development,1593.07,12,21.3,,,0.62,,,
478,iShares National Muni Bond ETF,MUB,NYSE,Finance,Financial - Investment Funds,23369.68,12,,,,,,,
479,"Mitsubishi UFJ Financial Group, Inc.",MUFG,NYSE,Finance,Banks - Foreign,71416.28,3,8.42,,,0.57,,,
480,Mnchener RckversicherungsGesellschaft,MURGY,OTC,Finance,Insurance - Multi line,41819.53,12,16.49,,,,,,
481,"BlackRock MuniYield Quality Fund III, Inc.",MYI,NYSE,Finance,Financial - Investment Funds,1021.57,10,,,,,,,
488,New World Development Co.,NDVLY,OTC,Finance,Real Estate - Development,3025.5,6,,,,,,,
495,NN Group NV Unsponsored ADR,NNGRY,OTC,Finance,Insurance - Life Insurance,17139.99,12,,,,,,,
496,"Nelnet, Inc.",NNI,NYSE,Finance,Financial - Consumer Loans,3029.24,12,6.21,,,,,,
499,Nordea Bank AB,NRDBY,OTC,Finance,Banks - Foreign,48194.83,12,12.02,,,,,,
503,National Bank of Canada,NTIOF,OTC,Finance,Banks - Foreign,25861.85,10,12.88,,,,,,
506,"Nuveen Municipal Value Fund, Inc.",NUV,NYSE,Finance,Financial - Investment Funds,2411.51,10,,,,,,,
508,NatWest Group plc,NWG,NYSE,Finance,Banks - Foreign,35566.3,12,14.05,,,-0.11,,,
