Ticker,Name,average_vol,average_open_vol,average_close_vol
DKNG,DRAFTKINGS INC - CL A,21399800,144600,381500
DLR,DIGITAL REALTY TRUST INC.,1398300,19700,203700
DPZ,DOMINO'S PIZZA INC,455100,4000,52700
EA,ELECTRONIC ARTS INC,2765300,37500,310200
ECOL,US ECOLOGY INC,511200,2300,30200
EDU,NEW ORIENTAL EDUCATIO-SP ADR,29852900,172400,1128300
EFA,ISHARES MSCI EAFE ETF,31809000,78300,960300
EL,ESTEE LAUDER COMPANIES-CL A,1460200,27500,200800
ENTA,ENANTA PHARMACEUTICALS INC,220800,2000,33500
EPAM,EPAM SYSTEMS INC,764200,5400,131200
EQIX,EQUINIX INC,458600,6300,63000
EQNR,EQUINOR ASA-SPON ADR,3329400,23500,52700
ETSY,ETSY INC,2849200,27900,157300
EWG,ISHARES MSCI GERMANY ETF,3558400,14600,21000
EWI,ISHARES MSCI ITALY ETF,1355600,1700,25600
EWL,ISHARES MSCI SWITZERLAND ETF,1989700,3700,22200
EWZ,ISHARES MSCI BRAZIL ETF,25265900,38100,787100
EXPE,EXPEDIA GROUP INC,2451100,20000,191000
FB,META PLATFORMS INC-CLASS A,28759800,310400,1734200
FCX,INTEL CORP,18321300,240500,1176900
FE,FIRSTENERGY CORP,3580800,39200,645200
FEZ,SPDR EURO STOXX 50 ETF,2708700,12700,37300
FFIV,F5 INC,630700,8000,64200
